DOY   hrmin     Vbar    SDVn
123   1400      2.24    0.66
123   1500      2.53    0.61
123   1600      1.53    0.72
123   1700      3.74    0.42
123   1800      1.60    0.45
123   1900      2.33    0.90
123   2000      1.80    0.65
123   2100      2.51    0.68
123   2200      2.73    0.33
123   2300      2.94    0.61
123   2400      1.60    0.51
124    100      2.51    0.45
124    200      3.09    0.19
124    300      3.48    0.21
124    400      3.57    0.24
124    500      2.85    0.26
124    600      2.53    0.22
124    700      1.21    0.19
124    800      1.08    0.33
124    900      1.47    0.44
124   1000      1.81    0.56
124   1100      2.20    0.68
124   1200      2.36    0.95
124   1300      2.96    0.67
124   1400      2.75    0.92
124   1500      2.98    0.81
124   1600      2.92    0.76
124   1700      2.35    0.63
124   1800      2.69    0.33
124   1900      1.40    0.23
124   2000      1.77    0.16
124   2100      3.26    0.31
124   2200      3.98    0.34
124   2300      2.65    0.37
124   2400      1.75    0.38
125    100      1.85    0.58
125    200      3.22    0.26
125    300      3.82    0.29
125    400      2.40    0.56
125    500      2.34    0.48
125    600      2.92    0.33
125    700      2.16    0.30
125    800      1.05    0.42
125    900      1.54    0.42
125   1000      1.69    0.50
125   1100      1.69    0.46
125   1200      1.71    0.64
125   1300      2.68    0.81
125   1400      2.32    0.70
125   1500      2.96    1.08
125   1600      2.27    0.90
125   1700      1.79    0.74
125   1800      1.25    0.46
125   1900      0.95    0.28
125   2000      2.08    0.27
125   2100      2.66    0.26
125   2200      3.27    0.35
125   2300      2.38    0.62
125   2400      3.39    0.43
126    100      2.13    0.42
126    200      1.85    0.41
126    300      2.25    0.20
126    400      2.54    0.26
126    500      2.67    0.31
126    600      2.13    0.36
126    700      1.26    0.37
126    800      0.64    0.28
126    900      0.84    0.36
126   1000      1.08    0.38
126   1100      0.78    0.35
126   1200      1.42    0.38
126   1300      2.03    0.68
126   1400      2.44    0.77
126   1500      2.96    0.85
126   1600      2.40    0.65
126   1700      3.03    0.71
126   1800      3.24    0.46
126   1900      3.94    0.40
126   2000      2.83    0.28
126   2100      2.94    0.21
126   2200      2.12    0.40
126   2300      2.45    0.32
126   2400      2.40    0.36
127    100      1.70    0.36
127    200      1.86    0.43
127    300      2.67    0.45
127    400      2.56    0.30
127    500      2.47    0.53
127    600      1.77    0.25
127    700      1.12    0.23
127    800      0.42    0.15
127    900      0.71    0.28
127   1000      0.84    0.33
127   1100      1.26    0.50
127   1200      2.31    1.02
127   1300      3.05    0.69
127   1400      3.45    1.02
127   1500      3.97    1.01
127   1600      3.63    1.07
127   1700      4.55    1.01
128    800      0.64    0.22
128    900      1.22    0.56
128   1000      2.06    0.86
128   1100      2.42    0.60
128   1200      2.49    0.76
128   1300      2.07    0.98
128   1400      2.11    0.67
128   1500      2.65    1.06
128   1600      2.21    0.70
128   1700      2.17    0.62
128   1800      2.29    0.41
128   1900      1.49    0.49
128   2000      2.25    0.40
128   2200      2.45    0.46
128   2300      1.53    0.58
128   2400      2.75    0.36
129    100      2.62    0.29
129    200      2.40    0.35
129    300      2.62    0.33
129    400      2.96    0.31
129    500      2.56    0.29
129    600      3.25    0.39
129    700      3.25    0.40
129    800      2.02    0.65
129    900      1.35    0.60
129   1000      1.18    0.36
129   1100      1.89    0.39
129   1200      1.66    0.38
129   1300      1.23    0.47
129   1400      1.53    0.48
129   1500      1.60    0.68
129   1600      2.06    0.60
129   1700      1.83    0.37
129   1800      1.55    0.48
129   1900      1.33    0.25
129   2000      1.56    0.31
129   2100      2.60    0.43
129   2200      2.86    0.60
129   2300      2.46    0.69
129   2400      3.09    1.13
130    100      1.94    0.68
130    200      2.61    0.45
130    300      1.85    0.62
130    400      2.04    0.66
130    500      2.41    0.39
130    600      1.89    0.28
130    700      1.14    0.45
130    800      0.88    0.37
130    900      2.32    0.53
130   1000      2.80    0.81
130   1100      2.72    0.77
130   1200      2.71    0.97
130   1300      1.78    1.02
130   1400      3.65    1.30
130   1500      3.65    1.33
130   1600      5.50    0.67
130   1700      6.07    0.84
130   1800      4.55    0.82
130   1900      2.50    0.71
130   2000      1.70    0.62
130   2100      2.24    0.60
130   2200      2.80    0.40
130   2300      2.60    0.34
130   2400      1.04    0.38
131    100      1.88    0.52
131    200      1.22    0.46
131    300      1.11    0.67
131    400      1.50    0.32
131    500      1.60    0.33
131    600      1.05    0.52
131    700      2.12    0.57
131    800      1.34    0.45
131    900      2.06    0.41
131   1000      3.21    0.39
131   1100      2.46    0.51
131   1200      1.58    0.49
131   1300      2.23    0.52
131   1400      2.86    1.01
131   1500      3.77    0.74
131   1600      2.55    1.39
131   1700      4.06    0.48
131   1800      3.73    0.78
131   1900      4.86    1.16
131   2000      4.38    0.50
131   2100      3.93    0.47
131   2200      2.75    0.43
131   2300      1.39    0.57
131   2400      1.47    0.36
132    100      2.34    0.33
132    200      2.06    0.30
132    300      1.88    0.28
132    400      1.66    0.45
132    500      2.30    0.30
132    600      2.47    0.23
132    700      2.18    0.29
132    800      1.76    0.42
132    900      1.46    0.35
132   1000      1.13    0.28
132   1100      1.97    0.62
132   1200      3.25    0.59
132   1300      5.99    1.08
132   1400      7.41    1.35
132   1500      8.33    1.18
132   1600      8.96    1.20
132   1700      7.47    1.69
132   1800      6.36    0.82
132   1900      6.25    0.79
132   2000      2.50    0.60
132   2100      2.34    0.62
132   2200      2.34    0.51
132   2300      2.17    0.31
132   2400      1.78    0.38
133    100      2.06    0.42
133    200      1.98    0.27
133    300      1.92    0.69
133    400      1.16    0.48
133    500      1.66    0.23
133    600      2.09    0.37
133    700      1.39    0.59
133    800      1.90    0.46
133    900      1.94    0.75
133   1000      1.78    0.71
133   1100      1.61    0.81
133   1200      1.97    0.94
133   1300      3.25    0.71
133   1400      3.05    0.83
133   1500      2.89    0.98
133   1600      2.67    0.77
133   1700      4.25    0.90
133   1800      2.65    0.59
133   1900      2.65    0.31
133   2000      1.88    0.36
133   2100      1.63    0.39
133   2200      3.43    1.58
133   2300      3.19    1.00
133   2400      3.44    0.48
134    100      2.00    0.30
134    200      1.76    0.60
134    300      2.04    0.42
134    400      1.40    0.54
134    500      1.57    0.43
134    600      2.01    0.29
134    700      1.94    0.30
134    800      0.76    0.29
134    900      0.90    0.45
134   1000      0.89    0.43
134   1100      1.22    0.59
134   1200      1.76    0.61
134   1300      2.12    0.72
134   1400      2.90    0.74
134   1500      2.87    0.85
134   1600      3.85    0.68
134   1700      2.51    0.54
134   1800      1.18    0.35
134   1900      5.31    0.55
134   2000      3.90    0.48
134   2100      2.72    0.49
134   2200      3.53    0.54
134   2300      4.26    0.61
134   2400      1.83    0.35
135    100      1.72    0.31
135    200      2.00    0.29
135    300      1.74    0.25
135    400      2.57    0.26
135    500      1.85    0.59
135    600      1.80    0.47
135    700      1.32    0.46
135    800      1.23    0.45
135    900      1.31    0.41
135   1000      1.61    0.50
135   1100      1.84    0.63
135   1200      1.38    0.76
135   1300      1.48    0.80
135   1400      1.88    0.86
135   1500      2.29    0.63
135   1600      3.23    0.91
135   1700      2.82    0.49
135   1800      1.62    0.53
135   1900      1.54    0.24
135   2000      2.04    0.34
135   2100      2.41    0.61
135   2200      2.01    0.33
135   2300      1.99    0.29
135   2400      1.31    0.55
136    100      1.71    0.32
136    200      2.04    0.54
136    300      2.31    0.42
136    400      2.17    0.46
136    500      2.75    0.30
136    600      2.05    0.28
136    700      1.13    0.24
136    800      0.58    0.28
136    900      0.95    0.35
136   1000      1.45    0.63
136   1100      1.28    0.55
136   1200      1.66    0.72
136   1300      3.52    0.92
136   1400      4.38    0.86
136   1500      4.38    0.96
136   1600      2.48    0.96
136   1700      3.28    0.85
136   1800      4.76    0.68
136   1900      3.53    0.45
136   2000      3.08    0.31
136   2100      2.61    0.40
136   2200      2.39    0.22
136   2300      2.33    0.43
136   2400      1.81    0.54
137    100      2.33    0.49
137    200      2.91    0.40
137    300      2.39    0.61
137    400      2.05    0.75
137    500      1.94    0.52
137    600      1.95    0.40
137    700      1.69    0.37
137    800      1.20    0.20
137    900      1.79    0.34
137   1000      2.42    0.52
137   1100      2.29    1.00
137   1200      3.88    0.99
137   1300      3.34    0.95
137   1400      3.09    0.94
137   1500      4.55    0.96
137   1600      4.40    0.89
137   1700      2.78    0.76
137   1800      3.16    0.87
137   1900      2.21    0.32
137   2000      3.52    0.69
137   2100      3.07    0.60
137   2200      2.91    0.51
137   2300      1.98    0.32
137   2400      1.20    0.30
138    100      3.16    0.40
138    200      3.76    0.48
138    300      2.08    0.31
138    400      1.07    0.33
138    500      1.56    0.47
138    600      2.04    0.35
138    700      1.03    0.31
138    800      1.72    0.59
138    900      1.89    0.62
138   1000      2.10    0.66
138   1100      1.12    0.44
138   1200      1.49    0.54
138   1300      2.77    1.03
138   1400      4.39    1.15
138   1500      3.94    1.28
138   1600      4.68    0.99
138   1700      9.16    1.21
138   1800      6.36    2.01
138   1900      4.96    0.69
138   2000      4.04    0.49
138   2100      3.29    0.43
138   2200      3.71    0.46
138   2300      3.27    0.56
138   2400      2.84    0.31
139    100      1.80    0.27
139    200      1.28    0.19
139    300      1.36    0.48
139    400      1.19    0.30
139    500      1.84    0.23
139    600      1.25    0.24
139    700      0.84    0.24
139    800      0.95    0.44
139    900      1.62    0.65
139   1000      2.07    0.81
139   1100      1.76    0.93
139   1200      2.19    0.48
139   1300      4.23    0.92
139   1400      3.38    0.85
139   1500      2.22    0.42
139   1600      5.58    1.08
139   1700      5.61    0.81
139   1800      3.68    0.60
139   1900      2.99    0.66
139   2000      4.41    0.65
139   2100      4.03    0.43
139   2200      3.27    0.42
139   2300      2.30    0.22
139   2400      2.48    0.23
