YEAR  DOY hrmin   Ta     Td      D     stdTa    Dir     V    ustar    z/L      H     LE      FluxAvg      FluxStd      FluxVar    FluxSkew    FluxKurt   Records
2018  96  1300   13.7    1.0   912.4   0.624   161.0   1.8   0.32   -0.137   102.4   91.6   0.350E-04    0.923E-04    0.851E-08    5.3167      67.5404    60000
2018  96  1700   10.9    4.6   460.8   0.232    70.3   2.9   0.25   -0.010     3.5   42.0   0.164E-04    0.709E-04    0.502E-08    1.4690       8.4052    72000
2018  96  1800   10.3    5.1   373.7   0.121    84.3   2.3   0.19    0.021    -3.1   22.1   0.845E-05    0.348E-04    0.121E-08    2.2172      14.8812    72000
2018  96  1900   10.0    5.3   336.4   0.211    69.8   0.5   0.06    0.890    -3.2    4.7   0.124E-05    0.115E-04    0.131E-09    1.4205      10.1687    72000
2018  96  2000    9.2    5.5   260.1   0.325   208.7   0.1   0.18    0.023    -2.8    0.6   0.314E-06    0.725E-05    0.526E-10    2.2383      29.4582    72000
2018  96  2100    9.2    5.2   280.5   0.218    29.1   0.7   0.07   -0.088     0.8   -2.9  -0.106E-05    0.148E-04    0.220E-09   -0.8611       9.1530    71998
2018  96  2200    8.6    5.4   214.2   0.308   336.8   2.1   0.07    0.741    -5.4   -2.1  -0.657E-06    0.110E-04    0.120E-09    0.3882       8.6122    72000
2018  96  2300    8.1    5.5   179.0   0.368   322.9   1.1   0.08    0.122    -1.4    2.7   0.106E-05    0.619E-05    0.383E-10    0.8957       9.3109    72000
2018  96  2400    7.8    4.9   189.5   0.426   332.8   2.5   0.07    1.333   -10.9   -3.1  -0.100E-05    0.135E-04    0.182E-09   -0.1899       6.0490    71999
2018  97   100    6.7    4.0   163.8   0.593   309.9   1.2   0.08    0.287    -3.8    3.7   0.125E-05    0.976E-05    0.952E-10    0.2423       7.2672    72000
2018  97   200    7.5    4.2   213.8   0.448   341.3   1.7   0.09    0.284    -5.2    0.8   0.394E-06    0.436E-05    0.190E-10    1.0530      55.4482    72000
2018  97   300    6.5    3.7   175.4   0.854   295.6   1.7   0.07   -0.526     4.9    1.1   0.201E-06    0.347E-05    0.120E-10   -2.1732      39.0628    72000
2018  97   400    7.1    3.5   221.0   0.410   333.5   2.1   0.07    0.798    -5.2   -1.2  -0.359E-06    0.548E-05    0.300E-10   -0.4319      14.6473    72000
2018  97   500    5.9    2.7   183.8   0.492   308.5   1.8   0.09    0.349    -5.3   -0.9  -0.612E-07    0.881E-05    0.776E-10   -0.1404      11.9704    72000
2018  97   600    6.2    2.6   212.1   0.691   329.0   1.4   0.06    1.097    -6.2   -0.7  -0.167E-06    0.578E-05    0.334E-10   -1.5375      20.8394    72000
2018  97   700    6.9    3.4   217.9   0.660   341.2   1.4   0.07    0.951    -6.9    4.9   0.209E-05    0.252E-04    0.636E-09    2.3906      26.1618    72000
2018  97   800    8.4    4.5   261.0   0.203    42.3   0.7   0.18   -0.086    10.2   31.8   0.118E-04    0.317E-04    0.101E-08    3.9923      32.9122    72000
2018  97   900    9.0    4.9   281.0   0.418   140.7   1.8   0.14   -0.934    52.6   72.6   0.278E-04    0.718E-04    0.516E-08    3.8045      28.4458    72000
2018  97  1000    9.7    4.6   352.7   0.578   147.2   1.8   0.21   -0.403    82.1   86.4   0.327E-04    0.835E-04    0.698E-08    2.0199      72.5048    72000
2018  97  1100   10.7    4.3   454.4   0.573   120.6   0.7   0.23   -0.253    63.3   72.5   0.273E-04    0.624E-04    0.389E-08    2.2306      18.8795    72000
2018  97  1200   11.5    4.1   539.2   0.378   223.6   0.6   0.19   -0.234    37.4   60.3   0.231E-04    0.576E-04    0.331E-08    3.7716      27.3015    61198
2018  97  1600   10.9    6.8   320.5   0.239   177.1   2.5   0.23   -0.052    14.2   54.8   0.215E-04    0.125E-03    0.157E-07    0.9577       3.1918    71999
2018  98   200    7.9    4.9   196.8   0.196   119.8   1.4   0.11    0.363    -9.4   16.6   0.685E-05    0.424E-04    0.180E-08    0.4245      17.1460    72001
2018  98   300    7.1    4.9   144.8   0.275   211.4   1.9   0.09    0.362    -5.8   12.1   0.463E-05    0.241E-04    0.583E-09    1.6838      12.0400    72000
